時,分,直行,学
06,20,f,f
07,03,f,f
07,29,f,f
08,20,f,f
08,25,f,t
08,31,f,f
08,24,f,t
08,38,f,t
09,35,f,f
09,55,f,f
10,10,f,t
10,22,f,f
11,10,f,f
11,56,f,f
12,30,f,f
13,02,f,f
13,22,f,f
13,58,f,f
14,15,f,f
14,45,f,f
15,10,f,f
15,58,f,f
16,45,f,f
17,18,f,f
17,38,f,f
18,05,f,f
18,40,f,f
19,05,f,f
19,35,f,f
20,45,f,f
21,50,f,f
