時,分,直行,学
06.35,f,f
07,01,f,f
07,44,f,f
08,10,f,f
09,05,f,t
09,18,f,f
09,30,f,f
09,45,f,f
10,40,f,f
11,03,f,t
11,40,f,f
12,39,f,f
13,07,f,f
13,43,f,f
14,41,f,f
15,20,f,f
16,25,f,t
16,31,f,f
16,49,f,f
17,10,f,f
17,38,f,f
18,01,f,f
18,10,f,f
18,30,f,f
19,36,f,f
19,45,f,t
20,16,f,f
20,45,f,t
21,30,f,f
22,31,f,f
